s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
3682.8831,1689.9336,152.5891,72.3809,260.5713,0.0000,-4.2877,0.0000
3695.5818,1688.6063,139.9600,64.5811,232.4919,0.6043,-3.8429,-0.0014
3708.2804,1687.2789,127.3309,56.6858,204.0687,2.0768,-1.9970,-0.0063
3719.6686,1685.2280,116.1290,52.6029,189.3705,3.3355,-0.3002,-0.0118
3731.0567,1681.4969,105.3694,51.9615,187.0613,3.6909,-0.3002,-0.0134
3742.4448,1676.1725,95.3027,51.3120,184.7232,3.5992,0.2680,-0.0134
3753.8329,1669.3786,86.1631,51.8922,186.8119,3.6810,-0.1141,-0.0134
3765.2210,1661.2735,78.1633,51.6460,185.9256,3.6462,0.0969,-0.0134
3776.6091,1652.0457,71.4897,51.8551,186.6785,3.6758,-0.0696,-0.0134
3787.9972,1641.9101,66.2975,51.7050,186.1381,2.8093,1.6187,-0.0103
3799.3853,1631.1027,62.7075,55.0916,198.3299,0.2820,1.5805,-0.0009
3811.9355,1619.1499,58.8814,58.5172,210.6621,2.6584,1.5394,0.0076
3824.4856,1607.7989,53.5279,61.6711,222.0160,4.0437,1.4994,0.0104
3837.0358,1597.2437,46.7386,64.5951,232.5423,4.4363,1.2401,0.0104
3849.5859,1587.6650,38.6297,66.9170,240.9012,4.7609,0.9344,0.0104
3862.1361,1579.2267,29.3398,68.6146,247.0126,4.3856,1.4038,0.0091
3874.6863,1572.0732,19.0280,71.0889,255.9201,2.6618,1.3673,0.0052
3887.4697,1565.4892,8.0704,73.4614,264.4609,0.6976,1.3311,0.0013
3900.2532,1558.9052,-2.8872,75.6996,272.5185,0.0000,1.2958,0.0000
3913.0367,1552.3212,-13.8448,77.8167,280.1400,0.0000,1.2615,0.0000
3925.8202,1545.7372,-24.8024,79.8238,287.3656,0.0000,1.2281,0.0000
3938.6037,1539.1533,-35.7599,81.7304,294.2293,0.0000,1.1955,0.0000
3951.3872,1532.5693,-46.7175,83.5446,300.7607,0.0000,1.1639,-0.0000
3964.1707,1525.9853,-57.6751,85.2738,306.9857,0.0000,1.1330,0.0000
3976.9542,1519.4013,-68.6327,86.9241,312.9268,0.0000,1.1030,-0.0000
3989.7376,1512.8173,-79.5903,88.5011,318.6041,0.5063,1.0738,-0.0006
4002.5211,1506.2333,-90.5479,90.0099,324.0355,2.1336,1.0454,-0.0026
4015.0713,1499.4210,-101.0882,91.4285,329.1427,3.8934,1.0182,-0.0046
4027.6214,1491.9339,-111.1604,92.7895,334.0420,4.5771,0.9917,-0.0052
4040.1716,1483.8041,-120.7214,94.0961,338.7458,4.7069,0.9659,-0.0052
4052.7218,1475.0663,-129.7302,95.3515,343.2653,4.8333,0.9408,-0.0052
4065.2719,1465.7581,-138.1482,96.5586,347.6108,4.9565,0.9163,-0.0052
4077.8221,1455.9192,-145.9394,97.7199,351.7916,5.0764,0.8925,-0.0052
4090.3722,1445.5918,-153.0705,98.8379,355.8165,5.1932,0.8693,-0.0052
4102.9224,1434.8202,-159.5108,99.9148,359.6934,5.3070,0.8467,-0.0052
