s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
2501.4286,801.9289,1946.0677,99.1329,356.8783,8.6182,0.7957,-0.0086
2510.5579,808.3561,1939.5842,99.8491,359.4568,8.7432,0.6825,-0.0086
2519.6872,814.2548,1932.6164,100.4594,361.6537,8.8504,0.5783,-0.0086
2528.8166,819.5886,1925.2073,100.9736,363.5048,8.9412,0.4840,-0.0086
2537.9459,824.3247,1917.4025,101.4019,365.0469,9.0172,0.4001,-0.0086
2547.0752,828.4338,1909.2502,101.7547,366.3168,7.9547,0.8075,-0.0075
2556.2046,831.8906,1900.8006,102.4629,368.8664,4.5646,0.7922,-0.0043
2565.4893,835.0661,1892.0759,103.1647,371.3929,1.1375,0.7769,-0.0010
2574.7740,838.2417,1883.3511,103.8484,373.8541,0.0000,0.7620,-0.0000
2584.0586,841.4172,1874.6264,104.5146,376.2524,0.0000,0.7473,-0.0000
2593.3433,844.5928,1865.9016,105.1638,378.5898,0.0000,0.7329,0.0000
2602.6280,847.7683,1857.1769,105.7967,380.8682,0.0000,0.7188,0.0000
2611.9127,850.9439,1848.4521,106.4138,383.0897,0.0000,0.7050,0.0000
2621.1974,854.1194,1839.7273,107.0155,385.2560,0.0000,0.6914,0.0000
2630.4821,857.2950,1831.0026,107.6024,387.3688,0.0000,0.6781,-0.0000
2639.7668,860.4705,1822.2778,108.1749,389.4298,0.0000,0.6651,-0.0000
2649.0515,863.6461,1813.5531,108.7335,391.4407,0.0000,0.6523,0.0000
2658.3361,866.8216,1804.8283,109.2786,393.4028,0.0000,0.6397,0.0000
2667.6208,869.9972,1796.1036,109.8105,395.3178,0.0000,0.6274,-0.0000
2676.9055,873.1727,1787.3788,110.3297,397.1869,0.0000,0.6154,0.0000
2686.1902,876.3483,1778.6541,110.8365,399.0116,0.0000,0.6035,-0.0000
2695.4749,879.5238,1769.9293,111.3314,400.7931,0.0000,0.5919,-0.0000
2704.7596,882.6994,1761.2046,111.8146,402.5326,0.0000,0.5805,0.0000
2714.0443,885.8749,1752.4798,112.2865,404.2314,0.0000,0.5694,0.0000
2723.3290,889.0505,1743.7551,112.7474,405.8906,0.0000,0.5584,0.0000
2732.6136,892.2260,1735.0303,113.1976,407.5114,0.0000,0.5477,0.0000
2741.8983,895.4016,1726.3056,113.6374,409.0947,0.0000,0.5371,0.0000
2751.1830,898.5771,1717.5808,114.0671,410.6416,0.0000,0.5268,-0.0000
2760.4677,901.7527,1708.8561,114.4870,412.1531,0.0000,0.5166,-0.0000
2769.7524,904.9282,1700.1313,114.8973,413.6302,0.0000,0.5067,0.0000
2779.0371,908.1038,1691.4066,115.2982,415.0737,0.0000,0.4970,0.0000
2788.3218,911.2793,1682.6818,115.6902,416.4846,0.0000,0.4874,0.0000
2797.6064,914.4549,1673.9571,116.0733,417.8637,0.0000,0.4780,0.0000
2806.8911,917.6304,1665.2323,116.4478,419.2119,0.0000,0.4688,-0.0000
2816.1758,920.8060,1656.5076,116.8139,420.5299,0.0000,0.4598,-0.0000
2825.4605,923.9815,1647.7828,117.1718,421.8186,0.0000,0.4510,0.0000
2834.7452,927.1571,1639.0580,117.5219,423.0787,0.0000,0.4423,0.0000
2844.0299,930.3326,1630.3333,117.8641,424.3109,0.0000,0.4338,0.0000
2853.3146,933.5082,1621.6085,118.1989,425.5159,0.0000,0.4254,0.0000
2862.5993,936.6837,1612.8838,118.5262,426.6944,0.0000,0.4172,-0.0000
2871.8839,939.8593,1604.1590,118.8464,427.8471,0.0000,0.4092,-0.0000
2881.1686,943.0348,1595.4343,119.1596,428.9746,0.0000,0.4013,0.0000
2890.4533,946.2104,1586.7095,119.4660,430.0776,0.0000,0.3936,0.0000
2899.7380,949.3859,1577.9848,119.7657,431.1566,0.0000,0.3860,0.0000
2909.0227,952.5615,1569.2600,120.0589,432.2122,0.0000,0.3786,0.0000
2918.3074,955.7370,1560.5353,120.3458,433.2450,0.0000,0.3713,0.0000
2927.5921,958.9126,1551.8105,120.6265,434.2555,0.0000,0.3642,-0.0000
2936.8768,962.0881,1543.0858,120.9012,435.2443,0.0000,0.3572,-0.0000
2946.1614,965.2637,1534.3610,121.1700,436.2119,0.0000,0.3503,0.0000
2955.4461,968.4392,1525.6363,121.4330,437.1588,0.0000,0.3436,0.0000
2964.7308,971.6148,1516.9115,121.6904,438.0855,0.0000,0.3369,0.0000
2974.0155,974.7903,1508.1868,121.9424,438.9925,0.0000,0.3305,0.0000
2983.3002,977.9659,1499.4620,122.1890,439.8802,0.0000,0.3241,-0.0000
2992.5849,981.1414,1490.7373,122.4303,440.7491,0.0000,0.3179,-0.0000
3001.8696,984.3170,1482.0125,122.6666,441.5996,0.0000,0.3118,0.0000
3011.1543,987.4925,1473.2878,122.8978,442.4322,0.0000,0.3058,0.0000
3020.4389,990.6681,1464.5630,123.1242,443.2472,0.0000,0.2999,0.0000
3029.7236,993.8436,1455.8383,123.3459,444.0451,0.0000,0.2941,0.0000
